No,Judul Berita,Link Berita
1,Polres OKU padamkan karhutla di Jalan Lintas Sumatera Desa Pusar,https://sumsel.antaranews.com/berita/824576/polres-oku-padamkan-karhutla-di-jalan-lintas-sumatera-desa-pusar
2,Rutan Baturaja uji skrining HIV ke ratusan warga binaan,https://sumsel.antaranews.com/berita/824509/rutan-baturaja-uji-skrining-hiv-ke-ratusan-warga-binaan
3,Polisi padamkan karhutla di lahan kosong Desa Laya OKU,https://sumsel.antaranews.com/berita/824461/polisi-padamkan-karhutla-di-lahan-kosong-desa-laya-oku
4,Herman Deru: Perusahan wajib bangun jalan khusus angkutan batu bara,https://sumsel.antaranews.com/berita/824445/herman-deru-perusahan-wajib-bangun-jalan-khusus-angkutan-batu-bara
5,Semen Baturaja pasok material pembangunan pagar konservasi gajah Way Kambas sepanjang 138 Km,https://sumsel.antaranews.com/berita/823979/semen-baturaja-pasok-material-pembangunan-pagar-konservasi-gajah-way-kambas-sepanjang-138-km
